page_url,image_url,tvshow_title,description
https://lordserials.fan/zarubezhnye-serialy/69-fljesh-o22.html,,Флэш,"В детстве, каждый из ребят представлял себя супергероем, который спасает людей, или делает добро. Так и наш главный герой сериала мечтает стать таким человеком. Барри Ален в детстве был как и все его сверстники?но в раннем детстве на глазах мальчика была убита его мать. В этом убийстве подозревали отца мальчика, и посадили его за решетку, а Барри остается совсем один. Прошли годы, юноша выучился на медицинского эксперта. Под свою опеку его берет полицейский, и после достижения возраста совершеннолетия и окончания университета, парень устраивается на работу судебным медицинским экспертом в этот полицейский участок. Однажды в юношу попала молния и очнувшись, он почувствовал, что обладает сверх способностью, он начал двигаться со сверхъестественной скоростью. Теперь у него нет сомнений, что подобные ему люди также получили такие способности вследствие природных явлений, но не все они сторонники добра и справедливости. Теперь Аллену предстоит борьба с суперзлодеями."
https://lordserials.fan/zarubezhnye-serialy/1448-konsultant.html,,Консультант,"Бизнес-консультанта наняли для того, чтобы повысить показатели компании по разработке видеоигр. Он будет вторгаться в личную жизнь сотрудников и ставить их в неловкие ситуации."
https://lordserials.fan/zarubezhnye-serialy/1268-nerazgadannye-tajny-s5.html,,Неразгаданные тайны,"Реальные случаи невероятных исчезновений, жестоких убийств и встреч со сверхъестественным."
https://lordserials.fan/zarubezhnye-serialy/403-realnaja-istorija.html,,Реальная история,"Сюжет описываемого сериала вращается вокруг Кида – молодого, амбициозного и весьма тщеславного человека. Ему не удалось стать известным актёром с невероятными гонорарами либо покорить публику собственным незаурядным голосом, однако он всё же смог найти путь к сердцу массовой аудитории. Его теперешнее место работы – шутник со сцены. Его опусы постоянно удивляли людей, приходивших на его концерты, неповторимостью и оригинальностью. И он всегда стремился собственный сценический образ перенести в реальную жизнь, подходя к жизненным неурядицам с широченной улыбкой во все 32 зуба. Оптимизм действительно оказывал Киду неоценимую помощь в этом на определённых этапах, однако подобное положение дел не могло длиться вечно. Некоторые происшествия из собственной жизни молодой человек предпочитает не обсуждать даже с самыми близкими людьми."
https://lordserials.fan/zarubezhnye-serialy/135-lzhec-v1.html,,Лжец,"Главные герои: мужчина и женщина. Мужчину зовут Эндрю, и он является успешным хирургом. Правда, в личной жизни у него всё довольно сложно, потому он мечтает найти себе девушку. Женщина же, работает учительницей и преподаёт у сына хирурга. И вот, волею судьбы, они решили пойти на своё первое свидание. Казалось бы, что это будет милая встреча, в которой будет романтика и свечи."
https://lordserials.fan/zarubezhnye-serialy/243-vikingi-46.html,,Викинги,"Действия в сериале происходят на землях викингов. Там живёт главный герой – Рагнар Лодброк. Умный и талантливый воин, он планирует с остальными викингами напасть на деревню с целью наживы. Там он находит настоящего священника и решает оставить в живых с целью узнать у него об остальном мире. Вскоре Рагнар понимает, что за той деревней, на которую они напали, есть другие земли и собирает настоящий поход."
https://lordserials.fan/zarubezhnye-serialy/1869-bank-pod-osadoj.html,,Банк под осадой,"Испания, 1981 г. Вооружённые налётчики вламываются в банк и берут сотни людей в заложники. Журналистка пытается опередить власти и выяснить истинные причины ограбления."
https://lordserials.fan/zarubezhnye-serialy/1509-smertelnaja-bitva-zavoevanie.html,,Смертельная битва: Завоевание,"В решающей смертельной битве за судьбу Земного царства победу над могучим воином, магом Шен Сунгом, одержал последний великий боец, юный монах храма Ордена Света Кунг Лао. В наказание за поражение всесильный владыка Внешнего мира, жестокий император Шао Кан сослал Шен Сунга в бездонные кобальтовые рудники, где томятся поверженные бойцы из сотен порабощенных царств."
https://lordserials.fan/zarubezhnye-serialy/308-chastnyj-detektiv-magnum-v1.html,,Частный детектив Магнум,"Состоятельный гавайский бизнесмен ищет охранника и детектива для охраны своего шикарного особняка. На эту должность он берет бывшего военнослужащего, по имени Том Магнум. Мужчина довольно успешно занимается расследованием сложных преступлений, и не раз попадает в разные курьезные ситуации. Владелец виллы очень долгое время отсутствует, и вскоре Том привыкает жить в богатом доме, и чувствует себя здесь хозяином. Решать разные бытовые вопросы ему помогает смышленый дворецкий, который также оказывает ему помощь в его детективной деятельности. Вскоре мужчины становятся настоящими друзьями."
https://lordserials.fan/zarubezhnye-serialy/1434-friridzh.html,,Фриридж,"Группа друзей, которые, возможно, высвободили смертельное проклятие, начинают новое приключение."
https://lordserials.fan/zarubezhnye-serialy/1607-zelenaja-planeta.html,,Зелёная планета,"Документальный сериал изучает многообразный растительный мир, который по праву может считаться доминирующим биологическим царством нашей планеты, возникшим за миллионы лет до появления первых животных. Британский писатель, общественный деятель и натуралист Дэвид Аттенборо приглашает зрителей присоединиться к удивительному путешествию вокруг Земли, чтобы исследовать самые невероятные виды растений, которые можно встретить в непроходимых тропических джунглях, засушливых пустынях, полярных ледниках и водоемах."
https://lordserials.fan/zarubezhnye-serialy/291-zaterjannye-v-kosmose-v2n.html,,Затерянные в космосе,"Когда в 2046 году в нашу голубую планету со всего маху врезалась Рождественская звезда, она вместо подарков под елку, принесла неисчислимые бедствия, страшно изменив климат. По счастью ученые все это время не лаптем щи хлебали, а потому в разные точки галактики стремительно начали разлетаться звездолеты с колонистами, призванными отыскать новую Родину человечеству. В составе двадцать четвертой миссии в сторону Альфа Центавра отправляется и семейство Робинсонов, в составе Морин и Джона, а так же их очаровательных детишек: Уилла, Пенни и Джуди. К сожалению космос полон неприятных сюрпризов, и вскоре корабль подвергается обстрелу со стороны неопознанного, боевого робота. Герои в срочном порядке грузятся в модуль Юпитер-2, и мчатся к ближайшей планете. При посадке, им удается сохранить большую часть груза, а условия тут весьма благоприятны для человека, но впереди героев ждем масса разных приключений, причем большей частью очень опасных."
https://lordserials.fan/zarubezhnye-serialy/93-klinika-v4.html,,Клиника,"Отучившись четыре года в медицинской школе, Джон Дориан приходит работать интерном в клинику. Вместе с ним здесь же будет применять полученные знания и его лучший друг со времен колледжа Крис Терк. Не имеющие опыта практической работы, молодые специалисты сразу же погружаются в хаотический мир жизни больницы..."
